turnstile_name,gis_name
103 ST-CORONA,103 ST
104 ST,104 ST-102 ST
116 ST-COLUMBIA,116 ST-COLUMBIA UNIVERSITY
137 ST CITY COL,137 ST-CITY COLLEGE
138/GRAND CONC,138 ST
14 ST-UNION SQ,14 ST-UNION SQUARE
149/GRAND CONC,149 ST-GRAND CONCOURSE
14TH STREET,14 ST
15 ST-PROSPECT,PROSPECT PARK-15 ST
161/YANKEE STAD,YANKEE STADIUM-161 ST
163 ST-AMSTERDM,163 ST - AMSTERDAM AV
21 ST-QNSBRIDGE,21 ST
3 AV 138 ST,138 ST-3 AV
3 AV-149 ST,149 ST-3AV
30 AV,30 AV-GRAND AV
33 ST-RAWSON ST,RAWSON ST-33 ST
34 ST-HERALD SQ,34 ST
34 ST-HUDSON YD,34 ST
34 ST-PENN STA,34 ST
36 AV,36 AV-WASHINGTON AV
39 AV,39 AV-BEEBE AV
4 AV-9 ST,4 AV
40 ST LOWERY ST,LOWERY ST-40 ST
42 ST-BRYANT PK,TIMES SQUARE-42 ST
42 ST-PORT AUTH,TIMES SQUARE-42 ST
46 ST BLISS ST,BLISS ST-46 ST
47-50 STS ROCK,47-50 STS ROCKEFELLER CENTER
4AV-9 ST,4 AV
5 AV/53 ST,5 AV-53 ST
5 AV/59 ST,5 AV
5 AVE,5 AV
52 ST,51 ST
57 ST-7 AV,57 ST
59 ST COLUMBUS,59 ST-COLUMBUS CIRCLE
61 ST WOODSIDE,WOODSIDE ST-61 ST
63 DR-REGO PARK,63 DRIVE-REGO PARK
66 ST-LINCOLN,66 ST-LINCOLN CENTER
68ST-HUNTER CO,68 ST-HUNTER COLLEGE
69 ST,68 ST-HUNTER COLLEGE
74 ST-BROADWAY,BROADWAY-74 ST
75 ST-ELDERTS,ELDERTS LANE-75 ST
8 ST-NYU,8 ST
80 ST,80 ST-HUDSON ST
81 ST-MUSEUM,81 ST - MUSEUM OF NATURAL HISTORY
82 ST-JACKSON H,82 ST-JACKSON HEIGHTS
85 ST-FOREST PK,FOREST PKWY-85 ST
88 ST,88 ST-BOYD AV
90 ST-ELMHURST,90 ST ELMHURST
9TH STREET,9 ST
AQUEDUCT N.COND,AQUEDUCT-NORTH CONDUIT AV
AQUEDUCT RACETR,AQUEDUCT RACETRACK
ASTOR PL,ASTOR PLACE
ASTORIA BLVD,ASTORIA BLVD-HOYT AV
ASTORIA DITMARS,DITMARS BLVD
ATL AV-BARCLAY,ATLANTIC AV-BARCLAYS CTR
B'WAY-LAFAYETTE,BROADWAY-LAFAYETTE ST
BEDFORD PK BLVD,BEDFORD PARK BLVD
BEDFORD-NOSTRAN,BEDFORD-NOSTRAND AVS
BEVERLEY ROAD,BEVERLY RD
BOTANIC GARDEN,BOTANIC GARDENS
BRIARWOOD,BRIARWOOD-VAN WYCK BLVD
BROADWAY JCT,BROADWAY JUNCTION-EAST NEW YORK
BROOKLYN BRIDGE,BROOKLYN BRIDGE-CITY HALL
