"","STATION","lat","long","Saturday 00:00","Saturday 04:00","Saturday 08:00","Saturday 12:00","Saturday 16:00","Saturday 20:00","Sunday 00:00","Sunday 05:00","Sunday 09:00","Sunday 13:00","Sunday 17:00","Sunday 21:00","Monday 01:00","Monday 05:00","Monday 09:00","Monday 13:00","Monday 17:00","Monday 21:00","Tuesday 01:00","Tuesday 05:00","Tuesday 09:00","Tuesday 13:00","Tuesday 17:00","Tuesday 21:00","Wednesday 01:00","Wednesday 05:00","Wednesday 09:00","Wednesday 13:00","Wednesday 17:00","Wednesday 21:00","Thursday 01:00","Thursday 05:00","Thursday 09:00","Thursday 13:00","Thursday 17:00","Thursday 21:00","Friday 01:00","Friday 05:00","Friday 09:00","Friday 13:00","Friday 17:00"
"1","103 ST",40.796092,-73.961454,-92,822,3808,2842,1805,857,-123,528,2229,1980,651,-304,22,5590,4307,2806,1001,-169,2,5456,4558,4176,50,-309,-16,5832,4741,3202,1501,-345,1924,3931,4713,3307,1792,-404,-9,5352,4825,3173,1853
"2","103 ST-CORONA",40.796092,-73.961454,-1028,2532,2476,1136,-1101,-1413,-96,1879,1276,-425,-864,-676,6539,3980,157,-1986,-2201,-618,7184,4214,310,-3321,-2009,-683,7155,4332,193,-2856,-2206,-793,7191,4453,430,-3088,-2100,-863,6969,4358,268,-2666,0
"3","104 ST",40.695178,-73.84433,-99,496,600,408,73,-14,211,403,300,38,-6,-19,2123,1369,429,-502,-167,-28,2338,1501,427,-445,-264,-40,2273,1499,491,-455,-234,-30,2277,1515,433,-495,-214,-37,2195,1372,432,-325,0
"4","110 ST",40.79502,-73.94425,-402,189,817,577,-44,-528,-308,548,-434,486,-558,-199,1028,1973,940,-299,-809,-198,970,2096,967,-5,-820,-183,926,2013,908,240,-811,-283,892,2059,1065,93,-696,-206,779,2077,1152,165,0
"5","111 ST",40.697418,-73.836345,-533,1646,2024,984,-338,-986,132,1437,836,239,-797,-327,4357,3086,836,-1155,-1400,-373,4902,3069,706,-1449,-1409,-371,4724,3371,791,-1430,-1466,-453,4779,3249,910,-1283,-1351,-500,4554,3151,871,-1113,26
"6","116 ST",40.805085,-73.954882,-111,1347,3259,3435,2229,455,-93,606,2452,3711,1257,-54,64,6062,4255,4010,1724,-269,63,6245,4565,4618,2066,-163,47,6676,4624,4659,2596,-148,-22,6372,4708,4741,2364,-111,71,5935,4837,4603,2502
"7","116 ST-COLUMBIA",40.807722,-73.96411,-25,-123,964,1399,2030,859,-25,20,804,1110,1083,525,47,-821,-880,2765,5570,1072,-10,-715,-717,3197,5773,1252,-13,-781,-563,3046,6029,959,0,-845,-540,3376,6016,1032,-6,-701,404,4270,4489
"8","121 ST",40.700492,-73.828294,29,169,241,233,156,22,112,169,206,112,49,24,561,356,179,112,-17,16,564,436,191,78,-27,14,571,426,244,27,-22,23,562,427,199,56,-40,18,560,450,179,56,241.5
"9","125 ST",40.811109,-73.952343,-523,144,2338,5147,1939,1728,-356,-106,7330,1001,688,285,496,27910,1686,3935,1607,-154,860,3735,2704,3841,1806,-64,718,13998,3325,2932,2407,-231,702,3794,3131,7081,4805,458,648,5018,4656,7501,4972
"10","135 ST",40.817894,-73.947649,52,770,2704,2989,2248,851,542,1727,2759,1624,534,16,1773,3735,2608,3002,574,-104,1896,4126,2899,3292,631,-86,1887,4222,2775,3536,1046,-165,1817,4149,3028,3498,893,-67,1695,4030,2913,3328,143
"11","137 ST CITY COL",40.822008,-73.953676,-455,711,1527,895,-376,-894,-449,440,1121,464,-459,-906,-117,2367,350,1023,-368,-355,-8,2658,646,827,-598,-355,-17,2651,530,984,-365,-421,-27,2485,714,659,-466,-389,-6,2564,1271,1082,-462
"12","138/GRAND CONC",40.813224,-73.929849,-61,-15,38,119,-84,-118,-62,1,-13,-92,-74,-33,290,125,99,201,-81,-31,276,237,69,175,-55,-22,235,160,110,192,-61,-5,237,254,105,123,-92,-5,258,245,82,144,0
"13","145 ST",40.824783,-73.944216,-2007,1030,4081,3197,-700,-2175,-1492,3036,2266,-1489,-2264,-875,4432,4709,2984,-1933,-2443,-726,4871,6836,1837,-1900,-2930,-763,4897,6930,2300,-1594,-3123,-1011,4965,5795,2986,-1520,-2627,-1086,4605,7560,2039,-1336,0
